	blazadd	blazerror	zfpadd	zfperror	noCompressadd	noCompresserror
16	0.0000214	1.03E-04	3.65E-04	3.94E-05	4.83E-05	0.00000555
32	0.000068196	6.76E-06	1.55E-03	0.0001360625	0.000199271428571429	0.00002255
64	0.00033348	2.26E-05	7.20E-03	0.000462	0.000803876190476191	0.0000727
128	0.0016327	1.89E-04	2.74E-02	0.0030075	0.00319735714285714	0.00042625
256	0.0068916	7.50E-04	1.05E-01	0.00591	0.0118939285714286	0.000773749999999999
512	0.028397	2.48E-03	4.20E-01	0.01935	0.0430862857142857	0.001166
1024	0.0974	5.28E-03	1.87E+00	0.1937	0.196688571428571	0.01962
2048	0.355876	2.28E-02	7.23E+00	0.741	0.714771428571429	0.0606
4096	1.3877	1.69E-01	3.34E+01	4.15875	3.14178571428571	0.127
8192	5.6221	0.085	141.9825	17.765	11.1665714285714	0.749
