	blaz	blazerror	zfp	zfperror	noCompress	noCompresserror
16	3.35E-05	2.48E-06	1.44E-04	1.22E-05	1.10E-06	1.13E-07
32	0.000073626	5.30E-06	7.21E-04	6.08333333333334E-05	2.64066666666667E-06	3.73666666666666E-07
64	0.00014662	1.31E-05	3.63E-03	0.000157333333333333	0.0000054561	0.000000569
128	0.000288133333333333	1.85E-05	1.46E-02	0.0018925	0.000012183	0.000001663
256	0.00058467	6.36E-05	5.47E-02	0.0054225	0.0000353248	0.000002141
512	0.00109926	4.65E-05	2.33E-01	0.02617	0.000067656	0.00000456
1024	0.00247364	1.92E-04	8.95E-01	0.10545	0.000203065	0.0000157125
2048	0.0047539	1.94E-04	3.47E+00	0.43875	0.00064304	0.00026535
4096	0.0100318	1.25E-03	1.39E+01	1.042	0.00171004	0.0001401
8192	0.0192032	0.00281	57.464	1.3575	0.0036998	0.000370333333333333
