	blaz	blazerror	zfp	zfperror	noCompress	noCompresserror
16	7.0158E-06	6.96333E-07	0.00024635	0.0000254	0.000018646	0.000002163
32	1.90194E-05	8.21E-07	0.000995322	0.00012275	8.14167E-05	0.000010185
64	5.95454E-05	1.31577E-05	0.004893889	0.0005875	0.000295	0.0000021
128	0.000240714	0.00001383	0.018969111	0.000951	0.001179903	8.675E-05
256	0.00082538	0.0000646	0.068995556	0.001055	0.005259333	0.00053925
512	0.00339725	0.00034425	0.312725926	0.012966667	0.021174667	0.002219
1024	0.013976	0.001466667	1.037466667	0.0621	0.078071852	0.008543333
2048	0.065167857	0.007367857	5.410888889	0.72225	0.364885185	0.023033333
4096	0.2627075	0.026825	21.33416667	3.7225	1.353407407	0.04825
8192	0.8291375	0.0314375	95.06666667	10.71	5.825111111	0.725
