	blazadd	blazerror	zfpadd	zfperror	noCompressadd	noCompresserror
16	0.000041531	1.03E-04	3.31E-04	3.78375E-05	2.41492E-05	0.000005862
32	0.000068196	6.76E-06	1.42E-03	0.000153	0.00009289	0.00000695
64	0.00033348	2.26E-05	6.42E-03	0.00073525	0.0003958	0.0000705
128	0.0016327	1.89E-04	2.62E-02	0.002671667	0.001549	0.000165
256	0.0068916	7.50E-04	1.01E-01	0.01245	0.006088	0.000615
512	0.028397	2.48E-03	4.11E-01	0.083	0.02381	0.00105
1024	0.0974	5.28E-03	1.81E+00	0.22	0.1146	0.006
2048	0.355876	2.28E-02	7.61E+00	0.775	0.4504	0.041
4096	1.3877	1.69E-01	3.02E+01	5.75	1.669	0.33
8192	5.6221	0.085	131.7	21.5	7.724	0.915
